sub_num	trial_num	stimulus	feedback	real_value	reaction_time	rating
425	1	Fa3_1221_m.jpg	82	80	5.013118e+03	3.562500e+01
425	2	Fa3_1221_m.jpg	80	80	5.012494e+03	8.375000e+01
425	3	Fa3_1231_m.jpg	30	30	5.009498e+03	3.375000e+01
425	4	Fa3_1231_m.jpg	28	30	5.001487e+03	3.125000e+01
425	5	Fa3_1331_m.jpg	90	90	5.007630e+03	4.125000e+01
425	6	Fa3_1331_m.jpg	90	90	5.006121e+03	90
425	7	Fa3_1231_m.jpg	31	30	5.006380e+03	7.687500e+01
425	8	Fa3_1231_m.jpg	29	30	5.016003e+03	3.187500e+01
425	9	Fa3_1221_m.jpg	81	80	5.009261e+03	7.875000e+01
425	10	Fa3_1221_m.jpg	80	80	5.000848e+03	70
425	11	Fa3_1331_m.jpg	89	90	5.003315e+03	50
425	12	Fa3_1331_m.jpg	91	90	5.008354e+03	8.937500e+01
425	13	Fa3_1221_m.jpg	79	80	5.006969e+03	8.062500e+01
425	14	Fa3_1221_m.jpg	80	80	5.000642e+03	8.125000e+01
425	15	Fa3_1331_m.jpg	92	90	5.003842e+03	7.250000e+01
425	16	Fa3_1331_m.jpg	88	90	5.011546e+03	90
425	17	Fa3_1231_m.jpg	32	30	5.006746e+03	8.812500e+01
425	18	Fa3_1231_m.jpg	30	30	5.015113e+03	3.312500e+01
425	19	Fa3_1311_m.jpg	40	40	5.008746e+03	3.875000e+01
425	20	Fa3_1311_m.jpg	40	40	5.008657e+03	3.562500e+01
425	21	Fa3_1121_m.jpg	48	50	5.008060e+03	4.937500e+01
425	22	Fa3_1121_m.jpg	51	50	5.000579e+03	4.937500e+01
425	23	Fa3_1111_m.jpg	69	70	5.008202e+03	50
425	24	Fa3_1111_m.jpg	70	70	5.000687e+03	70
425	25	Fa3_1311_m.jpg	42	40	5.008061e+03	7.875000e+01
425	26	Fa3_1311_m.jpg	39	40	5.009088e+03	4.937500e+01
425	27	Fa3_1121_m.jpg	49	50	5.008376e+03	7.250000e+01
425	28	Fa3_1121_m.jpg	50	50	5.008494e+03	4.875000e+01
425	29	Fa3_1311_m.jpg	41	40	5.008510e+03	7.437500e+01
425	30	Fa3_1311_m.jpg	40	40	5.000721e+03	40
425	31	Fa3_1111_m.jpg	70	70	5.009282e+03	5.250000e+01
425	32	Fa3_1111_m.jpg	72	70	5.000228e+03	7.062500e+01
425	33	Fa3_1121_m.jpg	52	50	5.008907e+03	7.187500e+01
425	34	Fa3_1111_m.jpg	70	70	5.008852e+03	50
425	35	Fa3_1121_m.jpg	50	50	5.008297e+03	7.187500e+01
425	36	Fa3_1111_m.jpg	68	70	5.007694e+03	70
