sub_num	trial_num	stimulus	feedback	real_value	reaction_time	rating
301	1	Fa2_2121_X.jpg	9	10	2.191607e+03	1.007812e+01
301	2	Fa2_2123_X.jpg	39	40	3.408113e+03	3.976562e+01
301	3	Fa2_2222_Y.jpg	30	30	1.189762e+03	30
301	4	Fa2_2322_Y.jpg	50	50	3.158429e+03	5.031250e+01
301	5	Fa2_2123_X.jpg	38	40	3.308200e+03	4.015625e+01
301	6	Fa2_2322_Y.jpg	52	50	3.109613e+03	4.953125e+01
301	7	Fa2_2322_Y.jpg	48	50	2.425628e+03	4.953125e+01
301	8	Fa2_2322_Y.jpg	51	50	2.392400e+03	4.953125e+01
301	9	Fa2_2322_Y.jpg	49	50	3.574433e+03	4.953125e+01
301	10	Fa2_2222_Y.jpg	32	30	1.038316e+03	30
301	11	Fa2_2222_Y.jpg	31	30	6.712740e+02	30
301	12	Fa2_2322_Y.jpg	50	50	2.140657e+03	4.953125e+01
301	13	Fa2_2123_X.jpg	42	40	2.272996e+03	4.015625e+01
301	14	Fa2_2123_X.jpg	40	40	2.373331e+03	3.976562e+01
301	15	Fa2_2122_X.jpg	30	30	9.388828e+02	30
301	16	Fa2_2122_X.jpg	29	30	8.236597e+02	30
301	17	Fa2_2121_X.jpg	10	10	3.092241e+03	1.007812e+01
301	18	Fa2_2122_X.jpg	30	30	2.006826e+03	30
301	19	Fa2_2122_X.jpg	32	30	9.220012e+02	30
301	20	Fa2_2122_Y.jpg	18	20	2.891143e+03	2.023438e+01
301	21	Fa2_2122_Y.jpg	19	20	3.255449e+03	2.023438e+01
301	22	Fa2_2122_Y.jpg	20	20	2.258785e+03	2.023438e+01
301	23	Fa2_2222_Y.jpg	31	30	8.053196e+02	30
301	24	Fa2_2122_Y.jpg	21	20	1.556304e+03	2.023438e+01
301	25	Fa2_2121_X.jpg	11	10	3.290410e+03	1.046875e+01
301	26	Fa2_2121_X.jpg	8	10	3.641982e+03	1.046875e+01
301	27	Fa2_2122_Y.jpg	22	20	2.858281e+03	1.984375e+01
301	28	Fa2_2122_Y.jpg	18	20	2.708927e+03	2.023438e+01
301	29	Fa2_2123_X.jpg	41	40	2.507335e+03	3.976562e+01
301	30	Fa2_2123_X.jpg	39	40	2.524011e+03	4.015625e+01
301	31	Fa2_2122_X.jpg	30	30	1.171201e+03	30
301	32	Fa2_2222_Y.jpg	29	30	9.747831e+02	30
301	33	Fa2_2222_Y.jpg	30	30	6.713187e+02	30
301	34	Fa2_2122_X.jpg	32	30	1.491560e+03	30
301	35	Fa2_2121_X.jpg	10	10	2.823762e+03	1.007812e+01
301	36	Fa2_2121_X.jpg	9	10	3.842024e+03	1.007812e+01
